episode 37143: -26351.828679716888 total reward, 76 steps, 21149 epochs 
episode 37144: -6030.281312457939 total reward, 51 steps, 21200 epochs 
episode 37145: 32845.22948150896 total reward, 12 steps, 21212 epochs 
episode 37146: -9610.403387468996 total reward, 32 steps, 21244 epochs 
episode 37147: 31508.589278725336 total reward, 2 steps, 21246 epochs 
episode 37148: 40371.05307342927 total reward, 49 steps, 21295 epochs 
episode 37149: -8404.736398250247 total reward, 78 steps, 21373 epochs 
episode 37150: -6405.2944802723 total reward, 79 steps, 21452 epochs 
episode 37151: -41020.66796787827 total reward, 73 steps, 21525 epochs 
episode 37152: -24220.033549120453 total reward, 93 steps, 21618 epochs 
episode 37153: -8186.0004342783395 total reward, 14 steps, 21632 epochs 
episode 37154: 36781.88239990252 total reward, 37 steps, 21669 epochs 
episode 37155: -9379.198691594747 total reward, 36 steps, 21705 epochs 
episode 37156: 35028.50124263242 total reward, 20 steps, 21725 epochs 
episode 37157: -7117.962695448194 total reward, 59 steps, 21784 epochs 
episode 37158: -24022.256033521753 total reward, 85 steps, 21869 epochs 
episode 37159: 36486.27700926466 total reward, 28 steps, 21897 epochs 
episode 37160: 36267.05121357818 total reward, 35 steps, 21932 epochs 
episode 37161: 34553.00694687152 total reward, 20 steps, 21952 epochs 
episode 37162: -26708.66103729762 total reward, 87 steps, 22039 epochs 
